OBJECTID,X,Y,geometry
29913,377010.114309324,5011151.70903357,377010.114309324|5011151.70903357
29916,374325.113024484,5011222.51781895,374325.113024484|5011222.51781895
29922,347332.990833333,5013737.71333333,347332.990833333|5013737.71333333
29924,351780.410722337,5013745.99959728,351780.410722337|5013745.99959728
29925,347770.758831406,5013720.79251419,347770.758831406|5013720.79251419
29926,374467.271604974,5011313.3285359,374467.271604974|5011313.3285359
29929,373987.727766667,5011345.96106667,373987.727766667|5011345.96106667
29932,373855.937939903,5011281.18545177,373855.937939903|5011281.18545177
29939,347621.426546455,5013820.90166155,347621.426546455|5013820.90166155
29946,348770.437976545,5016610.35715729,348770.437976545|5016610.35715729
29948,348206.287306917,5016829.11026861,348206.287306917|5016829.11026861
29955,351791.708189639,5014027.69126872,351791.708189639|5014027.69126872
29962,374483.523624017,5009179.18993513,374483.523624017|5009179.18993513
29979,358991.829333333,5017386.44373333,358991.829333333|5017386.44373333
29981,374750.233330104,5009244.12159995,374750.233330104|5009244.12159995
29982,374876.086142622,5009291.8447177,374876.086142622|5009291.8447177
29984,376896.896205461,5011230.63814197,376896.896205461|5011230.63814197
29990,375640.390051204,5011265.9590892,375640.390051204|5011265.9590892
30023,374531.722848602,5011369.70816904,374531.722848602|5011369.70816904
30025,373885.428199205,5011487.87472988,373885.428199205|5011487.87472988
30039,346733.174069163,5021848.34975435,346733.174069163|5021848.34975435
30057,376503.309594855,5009227.95779524,376503.309594855|5009227.95779524
30061,376053.375830586,5010444.13385283,376053.375830586|5010444.13385283
30062,377528.111852373,5010487.28362853,377528.111852373|5010487.28362853
30068,376467.126934926,5011366.27124366,376467.126934926|5011366.27124366
30071,349005.638655778,5011371.41642511,349005.638655778|5011371.41642511
30088,374586.305161045,5011500.77192765,374586.305161045|5011500.77192765
30092,347572.0931962,5014105.52830269,347572.0931962|5014105.52830269
30109,377348.171380015,5013940.19356377,377348.171380015|5013940.19356377
30111,375851.735508763,5014022.28925483,375851.735508763|5014022.28925483
30137,375378.216010966,5008901.22707672,375378.216010966|5008901.22707672
30167,374804.663662526,5009661.19595879,374804.663662526|5009661.19595879
30168,374825.015342115,5009689.50892352,374825.015342115|5009689.50892352
30170,374856.809685761,5009717.61975888,374856.809685761|5009717.61975888
30186,351892.650872424,5013763.75884363,351892.650872424|5013763.75884363
30192,374450.47738321,5011750.57248934,374450.47738321|5011750.57248934
30209,359382.879500134,5014656.29071951,359382.879500134|5014656.29071951
30210,359458.1144,5014685.88333333,359458.1144|5014685.88333333
30212,375088.100376963,5014712.03710015,375088.100376963|5014712.03710015
30224,348347.424152243,5021794.67025589,348347.424152243|5021794.67025589
30226,348151.081670719,5021751.95401388,348151.081670719|5021751.95401388
30227,375554.104791602,5009508.35887908,375554.104791602|5009508.35887908
30231,349330.662607756,5011676.76270232,349330.662607756|5011676.76270232
30234,376185.33942624,5011564.23890129,376185.33942624|5011564.23890129
30238,358742.561429317,5018201.08344064,358742.561429317|5018201.08344064
30245,376530.28656285,5014555.75247411,376530.28656285|5014555.75247411
30246,347405.908305548,5014297.01582679,347405.908305548|5014297.01582679
30247,347704.027180135,5014518.8477314,347704.027180135|5014518.8477314
30251,376501.668416501,5014601.42626181,376501.668416501|5014601.42626181
30253,376247.298201286,5014321.13085663,376247.298201286|5014321.13085663
30256,348380.227529543,5011765.73557888,348380.227529543|5011765.73557888
30263,349594.556301513,5011903.09529451,349594.556301513|5011903.09529451
30280,348260.171875896,5021872.18806534,348260.171875896|5021872.18806534
30281,347657.861333607,5021901.27113785,347657.861333607|5021901.27113785
30292,347753.151389864,5021219.79895038,347753.151389864|5021219.79895038
30293,347205.119907428,5021185.75876159,347205.119907428|5021185.75876159
30304,354042.746461327,5021290.52065862,354042.746461327|5021290.52065862
30307,342809.238275048,5023061.41873183,342809.238275048|5023061.41873183
30309,342509.375706105,5023079.06846192,342509.375706105|5023079.06846192
30316,342511.386266667,5023133.46646667,342511.386266667|5023133.46646667
30317,342475.417741234,5023142.0910193,342475.417741234|5023142.0910193
30321,374926.674214281,5023161.05304946,374926.674214281|5023161.05304946
30324,342483.658405513,5023179.36892884,342483.658405513|5023179.36892884
30325,342781.461933333,5023189.01953333,342781.461933333|5023189.01953333
30327,342582.339171336,5023167.37945785,342582.339171336|5023167.37945785
30330,371752.329478627,5023187.24542109,371752.329478627|5023187.24542109
30334,342780.421459356,5024504.25187351,342780.421459356|5024504.25187351
30339,341638.355675935,5024542.51719684,341638.355675935|5024542.51719684
30342,340472.323520939,5024547.6327644,340472.323520939|5024547.6327644
30350,341451.055553855,5024469.81406124,341451.055553855|5024469.81406124
30363,337980.08073923,5025512.58416798,337980.08073923|5025512.58416798
30366,338420.389033337,5028802.88130677,338420.389033337|5028802.88130677
30369,374136.326313502,5021254.90405592,374136.326313502|5021254.90405592
30370,347181.538833333,5021332.75743333,347181.538833333|5021332.75743333
30374,347248.124168081,5021376.89612075,347248.124168081|5021376.89612075
30389,342601.7123,5023241.28236667,342601.7123|5023241.28236667
30391,342878.025850468,5023235.85162569,342878.025850468|5023235.85162569
30402,373670.543183251,5021853.5132862,373670.543183251|5021853.5132862
30406,373960.560866667,5024588.59693333,373960.560866667|5024588.59693333
30408,340146.814146845,5024585.01914855,340146.814146845|5024585.01914855
30412,374863.032682965,5023567.11018014,374863.032682965|5023567.11018014
30427,347757.753691651,5014208.63694848,347757.753691651|5014208.63694848
30434,338027.803836619,5025521.66562024,338027.803836619|5025521.66562024
30438,340442.907461525,5024776.59856233,340442.907461525|5024776.59856233
30459,346964.691432874,5021622.15548364,346964.691432874|5021622.15548364
30461,346865.6113918,5021618.02607084,346865.6113918|5021618.02607084
30463,348040.0711,5021650.66046667,348040.0711|5021650.66046667
30470,348700.2944081,5022041.72519934,348700.2944081|5022041.72519934
30471,349890.598233334,5022057.67256667,349890.598233334|5022057.67256667
30477,346640.507029707,5021981.82946323,346640.507029707|5021981.82946323
30479,346934.48832209,5021961.1378754,346934.48832209|5021961.1378754
30483,348930.718230947,5021998.69343665,348930.718230947|5021998.69343665
30485,374404.525990731,5022365.71089862,374404.525990731|5022365.71089862
30490,375122.153656181,5023220.05105171,375122.153656181|5023220.05105171
30506,349248.938764586,5012248.00726748,349248.938764586|5012248.00726748
30523,338471.633115379,5025933.19445094,338471.633115379|5025933.19445094
30535,338176.2835,5025758.17966667,338176.2835|5025758.17966667
30539,337732.954554559,5025755.08736118,337732.954554559|5025755.08736118
30541,348769.060752894,5022078.45136395,348769.060752894|5022078.45136395
30544,340321.527638826,5027300.12406299,340321.527638826|5027300.12406299
30556,339641.017575076,5027398.35944103,339641.017575076|5027398.35944103
